// File: CesarData5.txt
// Data file for SeaPort projects
// Date: Wed Oct 12 08:52:41 EDT 2016
// parameters: 3 6 10 10 6 10
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Hairaton 10001 0
port Cologno_Monzese_(Inland_Point) 10002 0
port Benguela 10000 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_13 20013 10001 30015
  dock Pier_20 20020 10002 30022
  dock Pier_3 20003 10000 30003
  dock Pier_15 20015 10001 30017
  dock Pier_23 20023 10002 30025
  dock Pier_17 20017 10001 30019
  dock Pier_9 20009 10001 30011
  dock Pier_26 20026 10002 30028
  dock Pier_22 20022 10002 30024
  dock Pier_14 20014 10001 30016
  dock Pier_0 20000 10000 30000
  dock Pier_7 20007 10000 30007
  dock Pier_12 20012 10001 30014
  dock Pier_19 20019 10002 30021
  dock Pier_10 20010 10001 30012
  dock Pier_27 20027 10002 30029
  dock Pier_6 20006 10000 30006
  dock Pier_18 20018 10002 30020
  dock Pier_24 20024 10002 30026
  dock Pier_4 20004 10000 30004
  dock Pier_16 20016 10001 30018
  dock Pier_8 20008 10001 30010
  dock Pier_25 20025 10002 30027
  dock Pier_5 20005 10000 30005
  dock Pier_21 20021 10002 30023
  dock Pier_11 20011 10001 30013
  dock Pier_1 20001 10000 30001
  dock Pier_2 20002 10000 30002

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    cship           Starvation 40011 10001 217.18 162.18 121.56 39.28 35.98 173.83 17.12
    cship                 Pest 40016 10001 117.51 285.59 49.51 32.15 81.60 163.79 541.58
    cship           Engagingly 40007 10000 183.30 317.44 54.58 18.88 178.01 135.18 205.19
    cship              Blipped 40010 10001 195.22 407.58 45.43 42.40 30.56 111.24 727.81
    cship           Loganberry 40002 10000 190.51 136.00 44.43 19.29 134.74 173.13 542.31
    cship             Surfiest 40013 10001 207.25 265.80 105.85 30.57 76.37 148.67 255.61
    cship           Understood 40005 10000 205.24 126.87 86.05 20.10 154.26 171.85 205.66
    cship          Enzymically 40003 10000 139.74 329.87 59.01 37.47 132.00 168.01 740.94
    cship              Hitches 40026 10002 120.93 177.62 39.86 20.19 36.32 152.53 705.73
    cship          Sideslipped 40014 10001 214.44 487.23 54.65 32.34 140.57 166.07 457.22
    cship         Lightweights 40022 10002 128.16 400.62 79.08 28.74 133.24 130.58 551.38
    cship         Bodybuilders 40001 10000 56.58 359.98 56.96 44.68 85.06 121.00 250.48
    cship           Teetotaled 40008 10000 248.72 408.38 47.11 17.86 157.79 181.81 921.28
    cship             Reuniter 40018 10001 88.15 348.38 77.01 33.23 148.51 103.99 499.38
    cship               Spiffy 40012 10001 165.78 425.26 75.89 38.96 213.41 146.01 266.99
    cship           Implements 40025 10002 58.84 244.63 113.55 24.09 164.15 197.11 107.80
    cship          Huckstering 40004 10000 122.74 411.86 63.90 27.19 31.80 112.84 122.32
    cship             Reequips 40019 10001 219.78 139.73 66.48 31.21 117.23 145.91 839.33
    cship             Aweather 40000 10000 113.72 125.52 86.29 34.52 95.02 107.11 361.83
    cship                Execs 40027 10002 124.13 309.02 44.73 35.56 161.77 156.42 147.02
    cship               Shards 40021 10002 96.65 207.27 31.07 20.44 74.57 176.10 429.84
    cship                Undue 40006 10000 202.66 465.07 72.06 18.10 191.89 131.79 562.13
    cship              Condyle 40029 10002 85.16 458.00 56.93 39.41 122.69 165.73 827.25
    cship            Overshots 40024 10002 121.78 496.56 89.33 43.94 124.18 135.02 57.93
    cship         Alkalinities 40009 10000 237.41 342.09 123.60 28.16 56.19 133.97 85.40
    cship           Disturbers 40020 10002 127.89 123.06 128.12 16.50 88.04 106.76 563.22
    cship          Reduplicate 40015 10001 197.95 340.21 109.66 35.73 69.82 138.59 541.21
    cship          Inexcusably 40017 10001 169.34 120.30 105.82 35.84 67.88 172.24 864.97
    cship             Ladybugs 40028 10002 114.92 355.16 90.15 40.04 210.08 145.52 868.52
    cship          Besprinkles 40023 10002 92.12 143.34 96.75 31.93 59.93 195.30 881.95

// person name index parent skill
//    person <string> <int> <int> <string>
    person               Maggie 50002 10000 mate
    person                 Kent 50012 10001 stevedore
    person                Linda 50011 10001 mate
    person               Marvin 50016 10002 mechanic
    person                  Ann 50001 10000 captain
    person             Mitchell 50009 10001 janitor
    person              Herbert 50013 10001 crew
    person            Stephanie 50008 10001 crew
    person                  Ron 50004 10000 crew
    person                 Greg 50005 10000 carpenter
    person               Sophia 50003 10000 janitor
    person               Jerald 50000 10000 driver
    person            Ernestine 50014 10001 janitor
    person                 Dana 50017 10002 captain
    person              Michael 50007 10001 carpenter
    person                Casey 50006 10000 clerk
    person             Brittany 50015 10001 crane_Operator
    person               Bonnie 50019 10002 cleaner
    person              Mildred 50020 10002 inspector
    person               Blanca 50010 10001 stevedore
    person                 Juan 50018 10002 engineer
    person             Marcella 50021 10002 carpenter

// job    name index parent duration [skill]+ (one or more, matches skill in person, may repeat)
//    job    <string> <int> <int> <double> [<string>]+
    job         Job_66_27_60 60023 40001 110.68 crane_Operator
    job         Job_74_40_54 60099 40025 45.42
    job         Job_86_52_83 60063 40018 67.06 janitor stevedore janitor engineer
    job         Job_22_92_63 60057 40012 94.73 driver mechanic
    job         Job_10_33_61 60074 30023 31.71
    job         Job_24_13_62 60079 30025 69.85
    job         Job_68_83_62 60048 30016 104.06
    job         Job_70_90_91 60033 40006 79.69 painter clerk
    job         Job_74_46_11 60083 30027 51.24
    job         Job_89_24_82 60005 30002 79.60 stevedore stevedore inspector mate
    job         Job_75_24_45 60043 30013 45.14 painter engineer janitor
    job         Job_48_66_87 60072 30023 58.17
    job         Job_98_83_46 60091 40021 104.78 clerk crane_Operator
    job         Job_95_33_45 60081 30026 88.39
    job         Job_82_40_79 60066 40019 44.31 janitor
    job         Job_73_44_28 60013 30005 70.45 carpenter
    job         Job_59_42_52 60053 40010 45.48 carpenter mate
    job         Job_71_57_98 60059 40014 119.12 stevedore mate
    job         Job_91_65_96 60031 40006 35.91 painter cleaner electrician
    job         Job_92_84_20 60096 40023 78.50 driver electrician cleaner
    job         Job_16_19_54 60002 30000 52.47 mechanic cleaner
    job         Job_78_28_74 60028 40005 71.12 clerk
    job         Job_89_87_59 60041 30011 103.28 janitor mechanic
    job         Job_73_63_49 60042 30012 47.93 clerk crew
    job         Job_44_46_28 60056 40012 49.43 crew
    job         Job_64_62_12 60004 30001 69.71 mechanic painter
    job         Job_28_62_72 60007 30003 93.85 mate janitor
    job         Job_63_83_28 60025 40003 102.73 crane_Operator crew
    job         Job_15_34_31 60014 30006 49.51
    job         Job_89_72_76 60044 30014 20.18
    job         Job_83_70_56 60071 30020 67.66 mate
    job         Job_38_46_12 60034 40008 55.65 carpenter driver
    job         Job_50_95_89 60039 30011 116.46 clerk painter
    job         Job_46_74_81 60085 30028 86.40 electrician driver crew electrician
    job         Job_34_55_28 60037 40009 113.98 crane_Operator janitor
    job         Job_54_65_76 60069 30020 86.20 crane_Operator crane_Operator
    job         Job_16_44_39 60015 30006 111.61 mate stevedore
    job         Job_95_75_48 60012 30005 25.40 crane_Operator driver carpenter
    job         Job_23_19_33 60017 30007 49.77 captain
    job         Job_39_30_72 60024 40002 82.46 inspector clerk
    job         Job_60_63_37 60036 40009 37.52 electrician janitor driver
    job         Job_49_37_75 60027 40004 27.47
    job         Job_40_92_22 60001 30000 30.17 janitor captain mechanic
    job         Job_13_48_54 60019 30009 44.94
    job         Job_99_97_35 60078 30025 66.46 captain driver
    job         Job_44_33_91 60090 40021 99.89 engineer
    job         Job_40_79_95 60065 40019 113.06 engineer
    job         Job_95_90_63 60006 30003 68.79 crew cleaner
    job         Job_29_83_94 60020 40000 35.07 carpenter janitor
    job         Job_97_76_68 60058 40012 82.00 painter
    job         Job_72_86_27 60016 30006 102.56 mate painter janitor
    job         Job_45_66_71 60060 40016 93.77 stevedore
    job         Job_53_79_60 60018 30009 109.54 engineer crane_Operator
    job         Job_13_16_99 60008 30003 22.71 mate
    job         Job_76_21_88 60073 30023 45.47 painter crew
    job         Job_27_98_20 60076 30024 60.96 crane_Operator mechanic
    job         Job_50_24_45 60101 40026 90.34 clerk
    job         Job_89_60_87 60045 30014 33.95 mechanic driver
    job         Job_66_55_78 60089 40021 81.19 carpenter
    job         Job_71_18_35 60070 30020 111.85 engineer mate mechanic
    job         Job_16_19_93 60003 30001 83.15 mechanic
    job         Job_51_53_84 60046 30015 74.32 stevedore
    job         Job_90_84_16 60092 40022 21.60
    job         Job_90_85_61 60051 30019 44.96 inspector crane_Operator
    job         Job_22_71_50 60097 40025 38.90 carpenter inspector stevedore
    job         Job_87_28_34 60035 40009 33.47 mate clerk
    job         Job_12_33_94 60032 40006 35.85 captain
    job         Job_25_15_48 60054 40011 78.17
    job         Job_32_93_57 60055 40011 21.64
    job         Job_44_57_20 60047 30015 72.42 stevedore
    job         Job_10_59_75 60062 40016 109.74 clerk
    job         Job_34_26_42 60087 40020 65.18 mechanic mechanic inspector
    job         Job_79_81_34 60049 30016 45.98 crew stevedore driver
    job         Job_75_69_72 60011 30004 93.40
    job         Job_82_81_70 60100 40025 102.09 mate crew
    job         Job_36_62_20 60094 40022 30.72 janitor carpenter
    job         Job_61_34_90 60080 30025 39.46 carpenter clerk mechanic
    job         Job_53_64_90 60067 40019 116.40 clerk mate captain
    job         Job_72_65_80 60030 40006 110.95
    job         Job_53_85_23 60082 30026 24.33
    job         Job_25_79_20 60102 40028 59.00 captain
    job         Job_15_34_31 60026 40004 56.39 driver painter
    job         Job_16_32_71 60088 40020 32.53 mechanic janitor
    job         Job_13_59_24 60029 40005 91.54 clerk
    job         Job_67_78_96 60052 30019 88.92 mechanic carpenter driver
    job         Job_71_95_65 60064 40019 87.25 clerk cleaner
    job         Job_10_93_35 60084 30028 113.43 stevedore
    job         Job_98_51_48 60077 30025 104.50 engineer carpenter janitor
    job         Job_69_62_91 60075 30023 74.60 carpenter
    job         Job_56_82_69 60021 40000 80.37 mate mate clerk
    job         Job_74_88_68 60095 40023 78.48 clerk carpenter
    job         Job_35_73_34 60009 30004 35.81 mate
    job         Job_19_74_65 60000 30000 102.86 engineer engineer
    job         Job_28_56_91 60038 40009 75.98 cleaner
    job         Job_76_50_88 60061 40016 71.22 driver crane_Operator crane_Operator
    job         Job_84_22_60 60093 40022 82.90
    job         Job_18_86_42 60068 30020 63.82 carpenter cleaner mechanic engineer
    job         Job_29_26_68 60022 40000 77.55 mate
    job         Job_15_60_29 60050 30018 48.03 painter janitor
    job         Job_53_93_93 60086 30029 94.96 mate
    job         Job_70_61_64 60010 30004 117.70 crane_Operator painter
    job         Job_82_26_10 60098 40025 116.39 crew janitor
    job         Job_34_64_61 60040 30011 47.93
